,curv_mean,curv_median,length
0,0.036298807632895516,0.034557175687599404,2.6166274720328144
1,0.10179613706933126,0.09092975667531603,4.239471587440888
2,0.05009061935302395,0.044396917681663234,3.0962238974011433
3,0.16007009199068362,0.14450485881942132,2.170402437664455
4,0.06465189873805137,0.03372380501861446,4.341612053163566
6,0.07521754624739642,0.05884987690645229,4.267029773731094
7,0.14844843570297925,0.08603320977682982,2.098105478060392
8,0.05831338641521675,0.0350518479416707,1.5838647060385593
